Ehdokasnumero,Sukunimi,Etunimi,Ehdokasnimi,,Puhelin,Email,Postiosoite,Postitoimipaikka,Vaaliliiton ID,Vaaliliitto,Tiedekuntakoodi (random),Huomioita
664,Puolakka,Aura Iida Maria,"Puolakka, Aura",,,etunimi.sukunimi.662@example.com,Testiosoite 663,10662,Helsinki,17,Domus Gaudiumin osakunnat,V,
665,Mattero,Elina Riina Anniina,"Mattero, Elina",,,etunimi.sukunimi.663@example.com,Testiosoite 664,10663,Helsinki,17,Domus Gaudiumin osakunnat,O,
666,Ronkainen,Emma Saima Loviisa,"Ronkainen, Emma",,,etunimi.sukunimi.664@example.com,Testiosoite 665,10664,Helsinki,17,Domus Gaudiumin osakunnat,B,
667,Pilhjerta,Emmi Helena,"Pilhjerta, Emmi",,,etunimi.sukunimi.665@example.com,Testiosoite 666,10665,Helsinki,17,Domus Gaudiumin osakunnat,T,
668,Suonio,Jenna Suvi Elina,"Suonio, Jenna",,,etunimi.sukunimi.666@example.com,Testiosoite 667,10666,Helsinki,17,Domus Gaudiumin osakunnat,L,
669,Hämäläinen,Johanna Marjukka,"Hämäläinen, Johanna",,,etunimi.sukunimi.667@example.com,Testiosoite 668,10667,Helsinki,17,Domus Gaudiumin osakunnat,MM,
670,Louhiranta,Juha Aleksi,"Louhiranta, Juha",,,etunimi.sukunimi.668@example.com,Testiosoite 669,10668,Helsinki,17,Domus Gaudiumin osakunnat,K,
671,Lipponen,Katriina Hannele,"Lipponen, Katriina",,,etunimi.sukunimi.669@example.com,Testiosoite 670,10669,Helsinki,17,Domus Gaudiumin osakunnat,E,
672,Väisänen,Laura Maria,"Väisänen, Laura",,,etunimi.sukunimi.670@example.com,Testiosoite 671,10670,Helsinki,17,Domus Gaudiumin osakunnat,H,
673,Ahonen,Lauri Reino Antero,"Ahonen, Lauri",,,etunimi.sukunimi.671@example.com,Testiosoite 672,10671,Helsinki,17,Domus Gaudiumin osakunnat,ML,
674,Laamanen,Maiju Henriikka,"Laamanen, Maiju",,,etunimi.sukunimi.672@example.com,Testiosoite 673,10672,Helsinki,17,Domus Gaudiumin osakunnat,V,
675,Nauha,Matti Tapani,"Nauha, Matti",,,etunimi.sukunimi.673@example.com,Testiosoite 674,10673,Helsinki,17,Domus Gaudiumin osakunnat,O,
676,Mustonen,Melissa Anu Maria,"Mustonen, Melissa",,,etunimi.sukunimi.674@example.com,Testiosoite 675,10674,Helsinki,17,Domus Gaudiumin osakunnat,B,
677,Tikkanen,Olli-Pekka,"Tikkanen, Olli-Pekka",,,etunimi.sukunimi.675@example.com,Testiosoite 676,10675,Helsinki,17,Domus Gaudiumin osakunnat,T,
678,Sutinen,Pekka Tapio,"Sutinen, Pekka",,,etunimi.sukunimi.676@example.com,Testiosoite 677,10676,Helsinki,17,Domus Gaudiumin osakunnat,L,
679,Kosonen,Sanna Katriina,"Kosonen, Sanna",,,etunimi.sukunimi.677@example.com,Testiosoite 678,10677,Helsinki,17,Domus Gaudiumin osakunnat,MM,
680,Liiri,Tiina Anni Emilia,"Liiri, Tiina",,,etunimi.sukunimi.678@example.com,Testiosoite 679,10678,Helsinki,17,Domus Gaudiumin osakunnat,K,
681,Peuhkuri,Ulla Riina,"Peuhkuri, Ulla",,,etunimi.sukunimi.679@example.com,Testiosoite 680,10679,Helsinki,17,Domus Gaudiumin osakunnat,E,
682,Ranki,Vuokko Johanna,"Ranki, Vuokko",,,etunimi.sukunimi.680@example.com,Testiosoite 681,10680,Helsinki,17,Domus Gaudiumin osakunnat,H,
683,Appelberg,Allan,"Appelberg, Allan",,,etunimi.sukunimi.681@example.com,Testiosoite 682,10681,Helsinki,15,EPO,ML,
684,Perälä,Anna Vilhelmiina,"Perälä, Anna",,,etunimi.sukunimi.682@example.com,Testiosoite 683,10682,Helsinki,15,EPO,V,
685,Nummi,Anna-Riikka Maria,"Nummi, Anna-Riikka",,,etunimi.sukunimi.683@example.com,Testiosoite 684,10683,Helsinki,15,EPO,O,
686,Brandt,Annika Mariel,"Brandt, Annika",,,etunimi.sukunimi.684@example.com,Testiosoite 685,10684,Helsinki,15,EPO,B,
687,Kukkola,Emilia Karoliina,"Kukkola, Emilia",,,etunimi.sukunimi.685@example.com,Testiosoite 686,10685,Helsinki,15,EPO,T,
688,Savolainen,Hannu Pentti,"Savolainen, Hannu",,,etunimi.sukunimi.686@example.com,Testiosoite 687,10686,Helsinki,15,EPO,L,
689,Ala-Mikkula,Heidi Emilia,"Ala-Mikkula, Heidi",,,etunimi.sukunimi.687@example.com,Testiosoite 688,10687,Helsinki,15,EPO,MM,
690,Hemminki,Heidi Hilja Kristiina,"Hemminki, Heidi",,,etunimi.sukunimi.688@example.com,Testiosoite 689,10688,Helsinki,15,EPO,K,
691,Pirttinen,Heli Susanna,"Pirttinen, Heli",,,etunimi.sukunimi.689@example.com,Testiosoite 690,10689,Helsinki,15,EPO,E,
692,Ruotsalainen,Henri Tuomas,"Ruotsalainen, Henri",,,etunimi.sukunimi.690@example.com,Testiosoite 691,10690,Helsinki,15,EPO,H,
693,Virta,Henri Tuomas Leonard,"Virta, Henri",,,etunimi.sukunimi.691@example.com,Testiosoite 692,10691,Helsinki,15,EPO,ML,
694,Harmanen,Ilona Taru Talvikki,"Harmanen, Ilona",,,etunimi.sukunimi.692@example.com,Testiosoite 693,10692,Helsinki,15,EPO,V,
695,Kangas,Jaakko Hermanni Antinpoika,"Kangas, Jaakko",,,etunimi.sukunimi.693@example.com,Testiosoite 694,10693,Helsinki,15,EPO,O,
696,Latva-Nikkola,Jani Iisakki,"Latva-Nikkola, Jani",,,etunimi.sukunimi.694@example.com,Testiosoite 695,10694,Helsinki,15,EPO,B,
697,Kohtamäki,Janne Pentti Matias,"Kohtamäki, Janne",,,etunimi.sukunimi.695@example.com,Testiosoite 696,10695,Helsinki,15,EPO,T,
698,Mäntykoski,Jenni Elina,"Mäntykoski, Jenni",,,etunimi.sukunimi.696@example.com,Testiosoite 697,10696,Helsinki,15,EPO,L,
699,Haapamäki,Johanna Maria Helena,"Haapamäki, Johanna",,,etunimi.sukunimi.697@example.com,Testiosoite 698,10697,Helsinki,15,EPO,MM,
700,Harju,Juhana Henrikki,"Harju, Juhana",,,etunimi.sukunimi.698@example.com,Testiosoite 699,10698,Helsinki,15,EPO,K,
701,Haataja,Joni Onni Antero,"Haataja, Joni",,,etunimi.sukunimi.699@example.com,Testiosoite 700,10699,Helsinki,15,EPO,E,
702,Dahlman,Katarina,"Dahlman, Katarina",,,etunimi.sukunimi.700@example.com,Testiosoite 701,10700,Helsinki,15,EPO,H,
703,Meriläinen,Katja Kristiina,"Meriläinen, Katja",,,etunimi.sukunimi.701@example.com,Testiosoite 702,10701,Helsinki,15,EPO,ML,
704,Rantakokko,Kirsimarja,"Rantakokko, Kirsimarja",,,etunimi.sukunimi.702@example.com,Testiosoite 703,10702,Helsinki,15,EPO,V,
705,Anttila,Laura Matilda,"Anttila, Laura",,,etunimi.sukunimi.703@example.com,Testiosoite 704,10703,Helsinki,15,EPO,O,
706,Isoniemi,Laura Elisabeth,"Isoniemi, Laura",,,etunimi.sukunimi.704@example.com,Testiosoite 705,10704,Helsinki,15,EPO,B,
707,Leppilahti,Laura Katariina,"Leppilahti, Laura",,,etunimi.sukunimi.705@example.com,Testiosoite 706,10705,Helsinki,15,EPO,T,
708,Mursu,Laura Susanna,"Mursu, Laura",,,etunimi.sukunimi.706@example.com,Testiosoite 707,10706,Helsinki,15,EPO,L,
709,Furu,Leena Veronica,"Furu, Leena",,,etunimi.sukunimi.707@example.com,Testiosoite 708,10707,Helsinki,15,EPO,MM,
710,Kurjenluoma,Leena Alisa,"Kurjenluoma, Leena",,,etunimi.sukunimi.708@example.com,Testiosoite 709,10708,Helsinki,15,EPO,K,
711,Pihlajamäki,Leena Anneli,"Pihlajamäki, Leena",,,etunimi.sukunimi.709@example.com,Testiosoite 710,10709,Helsinki,15,EPO,E,
712,Kurkela,Maria Sofia,"Kurkela, Maria",,,etunimi.sukunimi.710@example.com,Testiosoite 711,10710,Helsinki,15,EPO,H,
713,Mäenpää,Marja Helena,"Mäenpää, Marja",,,etunimi.sukunimi.711@example.com,Testiosoite 712,10711,Helsinki,15,EPO,ML,
714,Hakola,Marjo Riikka,"Hakola, Marjo",,,etunimi.sukunimi.712@example.com,Testiosoite 713,10712,Helsinki,15,EPO,V,
715,Hietala,Miina Kaisa Hannele,"Hietala, Miina",,,etunimi.sukunimi.713@example.com,Testiosoite 714,10713,Helsinki,15,EPO,O,
716,Latva-Somppi,Minna Liisa Kaarina,"Latva-Somppi, Minna",,,etunimi.sukunimi.714@example.com,Testiosoite 715,10714,Helsinki,15,EPO,B,
717,Pitkäranta,Nina Pauliina,"Pitkäranta, Nina",,,etunimi.sukunimi.715@example.com,Testiosoite 716,10715,Helsinki,15,EPO,T,
718,Karppi,Noora Justiina,"Karppi, Noora",,,etunimi.sukunimi.716@example.com,Testiosoite 717,10716,Helsinki,15,EPO,L,
719,Ala-Fossi,Olli Juhani,"Ala-Fossi, Olli",,,etunimi.sukunimi.717@example.com,Testiosoite 718,10717,Helsinki,15,EPO,MM,
720,Hemminki,Olli Tapani,"Hemminki, Olli",,,etunimi.sukunimi.718@example.com,Testiosoite 719,10718,Helsinki,15,EPO,K,
721,Nokso-Koivisto,Olli Sakari,"Nokso-Koivisto, Olli",,,etunimi.sukunimi.719@example.com,Testiosoite 720,10719,Helsinki,15,EPO,E,
722,Raivio,Markku Antti Oskari,"Raivio, Oskari",,,etunimi.sukunimi.720@example.com,Testiosoite 721,10720,Helsinki,15,EPO,H,
723,Surma-aho,Outi Katariina,"Surma-aho, Outi",,,etunimi.sukunimi.721@example.com,Testiosoite 722,10721,Helsinki,15,EPO,ML,
724,Kahila,Paula Kaarina,"Kahila, Paula",,,etunimi.sukunimi.722@example.com,Testiosoite 723,10722,Helsinki,15,EPO,V,
725,Rokkila,Marja Pauliina,"Rokkila, Pauliina",,,etunimi.sukunimi.723@example.com,Testiosoite 724,10723,Helsinki,15,EPO,O,
726,Latvala,Reetta Loviisa,"Latvala, Reetta",,,etunimi.sukunimi.724@example.com,Testiosoite 725,10724,Helsinki,15,EPO,B,
727,Kaarto,Riikka Karoliina,"Kaarto, Riikka",,,etunimi.sukunimi.725@example.com,Testiosoite 726,10725,Helsinki,15,EPO,T,
728,Kaila,Riikka Eveliina,"Kaila, Riikka",,,etunimi.sukunimi.726@example.com,Testiosoite 727,10726,Helsinki,15,EPO,L,
729,Mäntykoski,Saara Maria,"Mäntykoski, Saara",,,etunimi.sukunimi.727@example.com,Testiosoite 728,10727,Helsinki,15,EPO,MM,
730,Kääriäinen,Sami Aarne,"Kääriäinen, Sami",,,etunimi.sukunimi.728@example.com,Testiosoite 729,10728,Helsinki,15,EPO,K,
731,Sjöblom,Sampo Jaakko Kalevi,"Sjöblom, Sampo",,,etunimi.sukunimi.729@example.com,Testiosoite 730,10729,Helsinki,15,EPO,E,
732,Haavisto,Suvi Maarit,"Haavisto, Suvi",,,etunimi.sukunimi.730@example.com,Testiosoite 731,10730,Helsinki,15,EPO,H,
733,Ojala,Suvi Annikki,"Ojala, Suvi",,,etunimi.sukunimi.731@example.com,Testiosoite 732,10731,Helsinki,15,EPO,ML,
734,Hietamäki,Tapio Henrik,"Hietamäki, Tapio",,,etunimi.sukunimi.732@example.com,Testiosoite 733,10732,Helsinki,15,EPO,V,
735,Kallio,Tapio Jaakko,"Kallio, Tapio",,,etunimi.sukunimi.733@example.com,Testiosoite 734,10733,Helsinki,15,EPO,O,
736,Koskiniemi,Teemu Jaakko,"Koskiniemi, Teemu",,,etunimi.sukunimi.734@example.com,Testiosoite 735,10734,Helsinki,15,EPO,B,
737,Tuurihalme,Timo Jaakko Martti,"Tuurihalme, Timo",,,etunimi.sukunimi.735@example.com,Testiosoite 736,10735,Helsinki,15,EPO,T,
738,Pennala,Tuomas Antti Ilmari,"Pennala, Tuomas",,,etunimi.sukunimi.736@example.com,Testiosoite 737,10736,Helsinki,15,EPO,L,
739,Raivio,Ville Mikael,"Raivio, Ville",,,etunimi.sukunimi.737@example.com,Testiosoite 738,10737,Helsinki,15,EPO,MM,
740,Kotisaari,Anna Maria,"Kotisaari, Anna",,,etunimi.sukunimi.738@example.com,Testiosoite 739,10738,Helsinki,18,PPO,K,
741,Ruotsala,Anni-Helena,"Ruotsala, Anni-Helena",,,etunimi.sukunimi.739@example.com,Testiosoite 740,10739,Helsinki,18,PPO,E,
742,Ervasti,Anri Maarit,"Ervasti, Anri",,,etunimi.sukunimi.740@example.com,Testiosoite 741,10740,Helsinki,18,PPO,H,
743,Ojala,Antti Heikki Johannes,"Ojala, Antti",,,etunimi.sukunimi.741@example.com,Testiosoite 742,10741,Helsinki,18,PPO,ML,
744,Viikinkoski,Arttu,"Viikinkoski, Arttu",,,etunimi.sukunimi.742@example.com,Testiosoite 743,10742,Helsinki,18,PPO,V,
745,Pape,Christopher David,"Pape, Chris",,,etunimi.sukunimi.743@example.com,Testiosoite 744,10743,Helsinki,18,PPO,O,
746,Lapinoja,Elina Kaarina,"Lapinoja, Elina",,,etunimi.sukunimi.744@example.com,Testiosoite 745,10744,Helsinki,18,PPO,B,
747,Viren,Hanna Elisa,"Viren, Hanna",,,etunimi.sukunimi.745@example.com,Testiosoite 746,10745,Helsinki,18,PPO,T,
748,Jokela,Ida-Reetta Johanna,"Jokela, Ida-Reetta",,,etunimi.sukunimi.746@example.com,Testiosoite 747,10746,Helsinki,18,PPO,L,
749,Kampman,Iiro Joonas,"Kampman, Iiro",,,etunimi.sukunimi.747@example.com,Testiosoite 748,10747,Helsinki,18,PPO,MM,
750,Kauma,Iiro Mikko Ilmari,"Kauma, Iiro",,,etunimi.sukunimi.748@example.com,Testiosoite 749,10748,Helsinki,18,PPO,K,
751,Kavén,Jenni Emilia,"Kavén, Jenni",,,etunimi.sukunimi.749@example.com,Testiosoite 750,10749,Helsinki,18,PPO,E,
752,Sepponen,Jenni Emilia,"Sepponen, Jenni",,,etunimi.sukunimi.750@example.com,Testiosoite 751,10750,Helsinki,18,PPO,H,
753,Hyry,Jonna Marika,"Hyry, Jonna",,,etunimi.sukunimi.751@example.com,Testiosoite 752,10751,Helsinki,18,PPO,ML,
754,Huotari,Joonas Kalle,"Huotari, Joonas",,,etunimi.sukunimi.752@example.com,Testiosoite 753,10752,Helsinki,18,PPO,V,
755,Seppänen,Katja Hannele,"Seppänen, Katja",,,etunimi.sukunimi.753@example.com,Testiosoite 754,10753,Helsinki,18,PPO,O,
756,Ansamaa,Laura Johanna,"Ansamaa, Laura",,,etunimi.sukunimi.754@example.com,Testiosoite 755,10754,Helsinki,18,PPO,B,
757,Haikola,Lauri Antero,"Haikola, Lauri",,,etunimi.sukunimi.755@example.com,Testiosoite 756,10755,Helsinki,18,PPO,T,
758,Heilala,Lauri Kullervo,"Heilala, Lauri 'Late'",,,etunimi.sukunimi.756@example.com,Testiosoite 757,10756,Helsinki,18,PPO,L,
759,Sivula,Lauri Eero Mikael,"Sivula, Lauri",,,etunimi.sukunimi.757@example.com,Testiosoite 758,10757,Helsinki,18,PPO,MM,
760,Huotari,Sanna Mari,"Huotari, Mari",,,etunimi.sukunimi.758@example.com,Testiosoite 759,10758,Helsinki,18,PPO,K,
761,Huhtaniemi,Lisa Marianna,"Huhtaniemi, Marianna",,,etunimi.sukunimi.759@example.com,Testiosoite 760,10759,Helsinki,18,PPO,E,
762,Sutinen,Marjo Johanna,"Sutinen, Marjo",,,etunimi.sukunimi.760@example.com,Testiosoite 761,10760,Helsinki,18,PPO,H,
763,Kähkönen,Mervi Helena,"Kähkönen, Mervi",,,etunimi.sukunimi.761@example.com,Testiosoite 762,10761,Helsinki,18,PPO,ML,
764,Kunnari,Mikko Olavi Johannes,"Kunnari, Mikko",,,etunimi.sukunimi.762@example.com,Testiosoite 763,10762,Helsinki,18,PPO,V,
765,Tervonen,Minna Johanna,"Tervonen, Minna",,,etunimi.sukunimi.763@example.com,Testiosoite 764,10763,Helsinki,18,PPO,O,
766,Rantakeisu,Mira Johanna,"Rantakeisu, Mira",,,etunimi.sukunimi.764@example.com,Testiosoite 765,10764,Helsinki,18,PPO,B,
767,Latvakoski,Niko Matias,"Latvakoski, Niko",,,etunimi.sukunimi.765@example.com,Testiosoite 766,10765,Helsinki,18,PPO,T,
768,Salin,Noora Heloisa,"Salin, Noora",,,etunimi.sukunimi.766@example.com,Testiosoite 767,10766,Helsinki,18,PPO,L,
769,Kronqvist,Otto Jaakko,"Kronqvist, Otto",,,etunimi.sukunimi.767@example.com,Testiosoite 768,10767,Helsinki,18,PPO,MM,
770,Ståhlberg,Panu Kaarlo,"Ståhlberg, Panu",,,etunimi.sukunimi.768@example.com,Testiosoite 769,10768,Helsinki,18,PPO,K,
771,Sipilä,Pekka Johannes,"Sipilä, Pekka",,,etunimi.sukunimi.769@example.com,Testiosoite 770,10769,Helsinki,18,PPO,E,
772,Salomaa,Riikka-Liisa Tellervo,"Salomaa, Riikka-Liisa",,,etunimi.sukunimi.770@example.com,Testiosoite 771,10770,Helsinki,18,PPO,H,
773,Huotari,Satu Elina,"Huotari, Satu",,,etunimi.sukunimi.771@example.com,Testiosoite 772,10771,Helsinki,18,PPO,ML,
774,Savonen,Sonia Mirka Paulina,"Savonen, Sonia",,,etunimi.sukunimi.772@example.com,Testiosoite 773,10772,Helsinki,18,PPO,V,
775,Madetoja,Sonja Maaria,"Madetoja, Sonja",,,etunimi.sukunimi.773@example.com,Testiosoite 774,10773,Helsinki,18,PPO,O,
776,Lohiniva,Suvi-Riikka Johanna,"Lohiniva, Suvi",,,etunimi.sukunimi.774@example.com,Testiosoite 775,10774,Helsinki,18,PPO,B,
777,Mustonen,Terhi Tuulikki,"Mustonen, Terhi",,,etunimi.sukunimi.775@example.com,Testiosoite 776,10775,Helsinki,18,PPO,T,
778,Tuulos,Tiina Tytti,"Tuulos, Tiina",,,etunimi.sukunimi.776@example.com,Testiosoite 777,10776,Helsinki,18,PPO,L,
779,Haaja,Tommi Petteri,"Haaja, Tommi",,,etunimi.sukunimi.777@example.com,Testiosoite 778,10777,Helsinki,18,PPO,MM,
780,Tuppurainen,Ville Oskari,"Tuppurainen, Ville",,,etunimi.sukunimi.778@example.com,Testiosoite 779,10778,Helsinki,18,PPO,K,
781,Viljamaa,Visa Veikko,"Viljamaa, Visa",,,etunimi.sukunimi.779@example.com,Testiosoite 780,10779,Helsinki,18,PPO,E,
782,Ahokas,Lari Pekka Jaakkima,"Ahokas, Lari",,,etunimi.sukunimi.780@example.com,Testiosoite 781,10780,Helsinki,3,Humanistit,H,
783,Björklund,Heta Kristiina,"Björklund, Heta",,,etunimi.sukunimi.781@example.com,Testiosoite 782,10781,Helsinki,3,Humanistit,ML,
784,Gylling,Elisa Annina,"Gylling, Elisa",,,etunimi.sukunimi.782@example.com,Testiosoite 783,10782,Helsinki,3,Humanistit,V,
785,Hakamies,Inkeri Eeva Helena,"Hakamies, Inkeri",,,etunimi.sukunimi.783@example.com,Testiosoite 784,10783,Helsinki,3,Humanistit,O,
786,Hario,Pasi Sakari,"Hario, Pasi",,,etunimi.sukunimi.784@example.com,Testiosoite 785,10784,Helsinki,3,Humanistit,B,
787,Heikkinen,Irina Saana Susanna,"Heikkinen, Irina",,,etunimi.sukunimi.785@example.com,Testiosoite 786,10785,Helsinki,3,Humanistit,T,
788,Heiskanen,Essi Johanna,"Heiskanen, Essi",,,etunimi.sukunimi.786@example.com,Testiosoite 787,10786,Helsinki,3,Humanistit,L,
789,Heiskari,Lari Tapio,"Heiskari, Tapio",,,etunimi.sukunimi.787@example.com,Testiosoite 788,10787,Helsinki,3,Humanistit,MM,
790,Kallio,Lauri Johannes,"Kallio, Lauri",,,etunimi.sukunimi.788@example.com,Testiosoite 789,10788,Helsinki,3,Humanistit,K,
791,Kankaanranta,Hennileena Sofia,"Kankaanranta, Hennileena",,,etunimi.sukunimi.789@example.com,Testiosoite 790,10789,Helsinki,3,Humanistit,E,
792,Karhumäki,Matti Johannes,"Karhumäki, Matti",,,etunimi.sukunimi.790@example.com,Testiosoite 791,10790,Helsinki,3,Humanistit,H,
793,Kinnunen,Jukka Juhani,"Kinnunen, Jukka",,,etunimi.sukunimi.791@example.com,Testiosoite 792,10791,Helsinki,3,Humanistit,ML,
794,Kiviharju,Anne Katariina,"Kiviharju, Anne",,,etunimi.sukunimi.792@example.com,Testiosoite 793,10792,Helsinki,3,Humanistit,V,
795,Korolainen-Virkajärvi,Katri Inkeri,"Korolainen-Virkajärvi, Katri",,,etunimi.sukunimi.793@example.com,Testiosoite 794,10793,Helsinki,3,Humanistit,O,
796,Koutonen,Tatu Iivari,"Koutonen, Iivari",,,etunimi.sukunimi.794@example.com,Testiosoite 795,10794,Helsinki,3,Humanistit,B,
797,Kölhi,Jaakko Aleksanteri,"Kölhi, Jaakko",,,etunimi.sukunimi.795@example.com,Testiosoite 796,10795,Helsinki,3,Humanistit,T,
798,Laakso,Suvi Tuuli,"Laakso, Suvi",,,etunimi.sukunimi.796@example.com,Testiosoite 797,10796,Helsinki,3,Humanistit,L,
799,Lavikainen,Jouni Ilari,"Lavikainen, Jouni",,,etunimi.sukunimi.797@example.com,Testiosoite 798,10797,Helsinki,3,Humanistit,MM,
800,Leinonen,Petri Juhani,"Leinonen, Petri",,,etunimi.sukunimi.798@example.com,Testiosoite 799,10798,Helsinki,3,Humanistit,K,
801,Leminen,Teemu Antti Valtteri,"Leminen, Teemu",,,etunimi.sukunimi.799@example.com,Testiosoite 800,10799,Helsinki,3,Humanistit,E,
802,Lindholm,Anni Emilia,"Lindholm, Anni",,,etunimi.sukunimi.800@example.com,Testiosoite 801,10800,Helsinki,3,Humanistit,H,
803,Lyytinen,Emilia Helena,"Lyytinen, Emilia",,,etunimi.sukunimi.801@example.com,Testiosoite 802,10801,Helsinki,3,Humanistit,ML,
804,Lätti,Niina Mirjami,"Lätti, Niina",,,etunimi.sukunimi.802@example.com,Testiosoite 803,10802,Helsinki,3,Humanistit,V,
805,Maeda,Emi Teresa,"Maeda, Emi",,,etunimi.sukunimi.803@example.com,Testiosoite 804,10803,Helsinki,3,Humanistit,O,
806,Miettunen,Sara Sisko Pilvikki,"Miettunen, Sara",,,etunimi.sukunimi.804@example.com,Testiosoite 805,10804,Helsinki,3,Humanistit,B,
807,Mikkonen,Maria Emilia,"Mikkonen, Maria",,,etunimi.sukunimi.805@example.com,Testiosoite 806,10805,Helsinki,3,Humanistit,T,
808,Peltonen,Elina Kristiina,"Peltonen, Elina",,,etunimi.sukunimi.806@example.com,Testiosoite 807,10806,Helsinki,3,Humanistit,L,
809,Pynttäri,Antti Tapani,"Pynttäri, Antti",,,etunimi.sukunimi.807@example.com,Testiosoite 808,10807,Helsinki,3,Humanistit,MM,
810,Rajamäki,Anni Talvikki,"Rajamäki, Anni",,,etunimi.sukunimi.808@example.com,Testiosoite 809,10808,Helsinki,3,Humanistit,K,
811,Rask,Magnus Edward,"Rask, Magnus",,,etunimi.sukunimi.809@example.com,Testiosoite 810,10809,Helsinki,3,Humanistit,E,
812,Renvall,Matti Tuomas,"Renvall, Tuomas",,,etunimi.sukunimi.810@example.com,Testiosoite 811,10810,Helsinki,3,Humanistit,H,
813,Soudunsaari,Jaakko Pekka Juhana,"Soudunsaari, Jaakko",,,etunimi.sukunimi.811@example.com,Testiosoite 812,10811,Helsinki,3,Humanistit,ML,
814,Thilman,Svante Fredrik Gustaf,"Thilman, Svante",,,etunimi.sukunimi.812@example.com,Testiosoite 813,10812,Helsinki,3,Humanistit,V,
815,Tiihonen,Risto Juhani,"Tiihonen, Risto",,,etunimi.sukunimi.813@example.com,Testiosoite 814,10813,Helsinki,3,Humanistit,O,
816,Tujula,Matti-Pekka Kalevi,"Tujula, Matti",,,etunimi.sukunimi.814@example.com,Testiosoite 815,10814,Helsinki,3,Humanistit,B,
817,Töyrylä,Juha Ensio,"Töyrylä, Juha",,,etunimi.sukunimi.815@example.com,Testiosoite 816,10815,Helsinki,3,Humanistit,T,
818,Virta,Sonja Aino Elina,"Virta, Sonja",,,etunimi.sukunimi.816@example.com,Testiosoite 817,10816,Helsinki,3,Humanistit,L,
819,Väänänen,Aino-Reetta Aleksandra,"Väänänen, Aino",,,etunimi.sukunimi.817@example.com,Testiosoite 818,10817,Helsinki,3,Humanistit,MM,
820,Ylitalo,Anna Katariina,"Ylitalo, Anna",,,etunimi.sukunimi.818@example.com,Testiosoite 819,10818,Helsinki,3,Humanistit,K,
821,Ylitalo,Turo Johannes,"Ylitalo, Turo",,,etunimi.sukunimi.819@example.com,Testiosoite 820,10819,Helsinki,3,Humanistit,E,
822,Aalto,Laura Jannica,"Aalto, Jannica",,,etunimi.sukunimi.820@example.com,Testiosoite 821,10820,Helsinki,6,Kumpula,H,
823,Alkio,Sini Maria,"Alkio, Sini",,,etunimi.sukunimi.821@example.com,Testiosoite 822,10821,Helsinki,6,Kumpula,ML,
824,Hynönen,Reko Heikki Pellervo,"Hynönen, Reko",,,etunimi.sukunimi.822@example.com,Testiosoite 823,10822,Helsinki,6,Kumpula,V,
825,Järvinen,Terhi Tuuli,"Järvinen, Terhi",,,etunimi.sukunimi.823@example.com,Testiosoite 824,10823,Helsinki,6,Kumpula,O,
826,Karinkanta,Risto Eemeli,"Karinkanta, Risto",,,etunimi.sukunimi.824@example.com,Testiosoite 825,10824,Helsinki,6,Kumpula,B,
827,Käkelä,Matias Paavali,"Käkelä, Matias",,,etunimi.sukunimi.825@example.com,Testiosoite 826,10825,Helsinki,6,Kumpula,T,
828,Lahtinen,Merli Karoliina,"Lahtinen, Merli",,,etunimi.sukunimi.826@example.com,Testiosoite 827,10826,Helsinki,6,Kumpula,L,
829,Lahtinen,Tiera Olavi,"Lahtinen, Tilli",,,etunimi.sukunimi.827@example.com,Testiosoite 828,10827,Helsinki,6,Kumpula,MM,
830,Lehtimäki,Marko Johannes,"Lehtimäki, Marko",,,etunimi.sukunimi.828@example.com,Testiosoite 829,10828,Helsinki,6,Kumpula,K,
831,McKee,Jason Robert,"McKee, Jason",,,etunimi.sukunimi.829@example.com,Testiosoite 830,10829,Helsinki,6,Kumpula,E,
832,Muhonen,Eija Maarit Sofia,"Muhonen, Eija",,,etunimi.sukunimi.830@example.com,Testiosoite 831,10830,Helsinki,6,Kumpula,H,
833,Penttilä,Markus Erkki Tapani,"Penttilä, Markus",,,etunimi.sukunimi.831@example.com,Testiosoite 832,10831,Helsinki,6,Kumpula,ML,
834,Rantala,Pekka Antti Ilmari,"Rantala, Pekka",,,etunimi.sukunimi.832@example.com,Testiosoite 833,10832,Helsinki,6,Kumpula,V,
835,Rantanen,Sami Edvard,"Rantanen, Sami",,,etunimi.sukunimi.833@example.com,Testiosoite 834,10833,Helsinki,6,Kumpula,O,
836,Särkikoski,Sanna Marjaana,"Särkikoski, Sanna",,,etunimi.sukunimi.834@example.com,Testiosoite 835,10834,Helsinki,6,Kumpula,B,
837,Teikari,Ilmo Werner,"Teikari, Ilmo",,,etunimi.sukunimi.835@example.com,Testiosoite 836,10835,Helsinki,6,Kumpula,T,
838,Tupala,Jere Olavi,"Tupala, Jere",,,etunimi.sukunimi.836@example.com,Testiosoite 837,10836,Helsinki,6,Kumpula,L,
839,Fast,Tommi Johannes,"Fast, Tommi 'Tommy'",,,etunimi.sukunimi.837@example.com,Testiosoite 838,10837,Helsinki,8,Käyttis,MM,
840,Hietajärvi,Lauri Ville Oskari,"Hietajärvi, Lauri",,,etunimi.sukunimi.838@example.com,Testiosoite 839,10838,Helsinki,8,Käyttis,K,
841,Koivisto,Eero-Matti Olavi,"Koivisto, Eero-Matti 'Ere'",,,etunimi.sukunimi.839@example.com,Testiosoite 840,10839,Helsinki,8,Käyttis,E,
